,Unnamed: 0,Unnamed: 0.1,link,jobtitle,jobcompany,joblocation,jobsalary,text
10,10,10,https://www.indeed.com/viewjob?jk=637b097996d39feb&fccid=1ddb91d85c72e885&vjs=3,Students Seeking Data Scientist Full Time Employment,ExxonMobil,"Houston, TX 77046 (Montrose area)",,"Apply statistical analysis, pattern recognition, and machine learning – along with domain knowledge and subject-specific models – to solve science, engineering, and commercial problems.Contribute to all stages of data science or decision modeling projects, including problem formulation, solution development, and product deployment:
Translate business-relevant scientific, engineering, and commercial problems into questions that may be addressed using data science.
Design experiments and/or run simulations to generate new data in support of analytic studies.
Retrieve and combine data from databases, data historians, and/or data lakes; there is a strong emphasis on programming, particularly using scripting languages.
Perform exploratory data analysis for quality control and improved understanding.
Rigorously and reproducibly build, analyze, and compare statistical and/or machine learning models.
Contextualize the results and synthesize them with existing knowledge and/or domain-specific models.
Deploy data-analytic products to end-users and/or document data-analytic results in technical reports.Translate business-relevant scientific, engineering, and commercial problems into questions that may be addressed using data science.Design experiments and/or run simulations to generate new data in support of analytic studies.Retrieve and combine data from databases, data historians, and/or data lakes; there is a strong emphasis on programming, particularly using scripting languages.Perform exploratory data analysis for quality control and improved understanding.Rigorously and reproducibly build, analyze, and compare statistical and/or machine learning models.Contextualize the results and synthesize them with existing knowledge and/or domain-specific models.Deploy data-analytic products to end-users and/or document data-analytic results in technical reports.Translate business-relevant scientific, engineering, and commercial problems into questions that may be addressed using data science.Design experiments and/or run simulations to generate new data in support of analytic studies.Retrieve and combine data from databases, data historians, and/or data lakes; there is a strong emphasis on programming, particularly using scripting languages.Perform exploratory data analysis for quality control and improved understanding.Rigorously and reproducibly build, analyze, and compare statistical and/or machine learning models.Contextualize the results and synthesize them with existing knowledge and/or domain-specific models.Deploy data-analytic products to end-users and/or document data-analytic results in technical reports.PhD or MS (exceptional BS candidates will be considered) in one of the following disciplines: Engineering/Sciences, Mathematics, Statistics or Computer Science with significant experience in data analytics.Experience in Python, Scala, Java, C, C++ or R is requiredKnowledge of statistics, linear algebra, multiple variable calculus, Fourier analysis or machine learningExperience using one or more of the following software packages: scikit-learn, numpy, pandas, jupyter, matplotlib, scipy, nltk, spacy, keras, tensorflowExperience solving problems using one or more of the following techniques: Regression, Support Vector Machines, Decision trees, random forest, Boosting, PCA, KMeansExperience in using SQL/No SQL databases is an advantageExperience working in Linux and in a High Performance Computing environment is an advantage"
11,11,11,https://www.indeed.com/viewjob?jk=6ac8e8c64c928926&fccid=1ddb91d85c72e885&vjs=3,Students Seeking Data Scientist Full Time Employment,ExxonMobil,"Houston, TX 77046 (Montrose area)",,"Apply statistical analysis, pattern recognition, and machine learning – along with domain knowledge and subject-specific models – to solve science, engineering, and commercial problems.Contribute to all stages of data science or decision modeling projects, including problem formulation, solution development, and product deployment:
Translate business-relevant scientific, engineering, and commercial problems into questions that may be addressed using data science.
Design experiments and/or run simulations to generate new data in support of analytic studies.
Retrieve and combine data from databases, data historians, and/or data lakes; there is a strong emphasis on programming, particularly using scripting languages.
Perform exploratory data analysis for quality control and improved understanding.
Rigorously and reproducibly build, analyze, and compare statistical and/or machine learning models.
Contextualize the results and synthesize them with existing knowledge and/or domain-specific models.
Deploy data-analytic products to end-users and/or document data-analytic results in technical reports.Translate business-relevant scientific, engineering, and commercial problems into questions that may be addressed using data science.Design experiments and/or run simulations to generate new data in support of analytic studies.Retrieve and combine data from databases, data historians, and/or data lakes; there is a strong emphasis on programming, particularly using scripting languages.Perform exploratory data analysis for quality control and improved understanding.Rigorously and reproducibly build, analyze, and compare statistical and/or machine learning models.Contextualize the results and synthesize them with existing knowledge and/or domain-specific models.Deploy data-analytic products to end-users and/or document data-analytic results in technical reports.Translate business-relevant scientific, engineering, and commercial problems into questions that may be addressed using data science.Design experiments and/or run simulations to generate new data in support of analytic studies.Retrieve and combine data from databases, data historians, and/or data lakes; there is a strong emphasis on programming, particularly using scripting languages.Perform exploratory data analysis for quality control and improved understanding.Rigorously and reproducibly build, analyze, and compare statistical and/or machine learning models.Contextualize the results and synthesize them with existing knowledge and/or domain-specific models.Deploy data-analytic products to end-users and/or document data-analytic results in technical reports.PhD or MS (exceptional BS candidates will be considered) in one of the following disciplines: Engineering/Sciences, Mathematics, Statistics or Computer Science with significant experience in data analytics.Experience in Python, Scala, Java, C, C++ or R is requiredKnowledge of statistics, linear algebra, multiple variable calculus, Fourier analysis or machine learningExperience using one or more of the following software packages: scikit-learn, numpy, pandas, jupyter, matplotlib, scipy, nltk, spacy, keras, tensorflowExperience solving problems using one or more of the following techniques: Regression, Support Vector Machines, Decision trees, random forest, Boosting, PCA, KMeansExperience in using SQL/No SQL databases is an advantageExperience working in Linux and in a High Performance Computing environment is an advantage"
12,12,12,https://www.indeed.com/viewjob?jk=39272d39ea8c16f8&fccid=2a4da7fa99f4b9ae&vjs=3,Data Scientist - Artificial Intelligence-PS16194,"Anthem, Inc.","Chicago, IL 60654 (Loop area)",,"Design machine learning projects to address specific business problems determined by consultation with business partners.Work with data-sets of varying degrees of size and complexity including both structured and unstructured data.Piping and processing massive data-streams in distributed computing environments such as Hadoop to facilitate analysis.Implements batch and real-time model scoring to drive actions.Develops proprietary machine learning algorithms to build customized solutions that go beyond standard industry tools and lead to innovative solutions.Develop sophisticated visualization of analysis output for business users.Publish results and address constraints/limitations with business partners.Provides high-level controllership/evaluation of all output produced to ensure established targets are met.Determines the continuous improvement opportunities of current predictive modeling algorithms.Proactively collaborates with business partners to determine identified population segments and develop actionable plans to enable the identification of patterns related to quality, use, cost and other variables."
13,14,14,https://www.indeed.com/viewjob?jk=de127680da8184c0&fccid=1ddb91d85c72e885&vjs=3,Students Seeking Data Scientist Internship Opportunities,ExxonMobil,"Houston, TX 77046 (Montrose area)",,"Use data visualization, statistical analysis, pattern recognition, and machine learning – along with domain knowledge and subject-specific models – to solve science, engineering, and commercial problemsData extraction/transformation/loading, data filtering and quality control, exploratory data analysis, feature engineering and visualization. Ability to work with both structured and unstructured dataAnalyze results and develop technical reports and presentationsCurrently pursuing a PhD or MS (exceptional BS candidates will be considered) in one of the following disciplines: Engineering/Sciences, Mathematics, Statistics or Computer Science with significant experience in data analytics.Experience in Python, Scala, Java, C, C++ or R is requiredThe following experiences are all considered an advantage, but not required:
Using one or more of the following software packages: scikit-learn, numpy, pandas, jupyter, matplotlib, scipy, nltk, spacy, keras, tensorflow
Solving problems using techniques including Regression, Support Vector Machines, Decision trees, random forest, Boosting, PCA, KMeans
Using SQL/No SQL databases is an advantage
Working in Linux and in a High Performance Computing environmentUsing one or more of the following software packages: scikit-learn, numpy, pandas, jupyter, matplotlib, scipy, nltk, spacy, keras, tensorflowSolving problems using techniques including Regression, Support Vector Machines, Decision trees, random forest, Boosting, PCA, KMeansUsing SQL/No SQL databases is an advantageWorking in Linux and in a High Performance Computing environmentUsing one or more of the following software packages: scikit-learn, numpy, pandas, jupyter, matplotlib, scipy, nltk, spacy, keras, tensorflowSolving problems using techniques including Regression, Support Vector Machines, Decision trees, random forest, Boosting, PCA, KMeansUsing SQL/No SQL databases is an advantageWorking in Linux and in a High Performance Computing environment"
14,15,15,https://www.indeed.com/viewjob?jk=f4fb09552121cbc5&fccid=d723225da214c842&vjs=3,Data Scientist,Caterpillar,"Morton, IL",,"Analyze large sets of data to identify opportunities for improvement within the networkSupport Insight leads as needed by pulling, manipulating, & loading data into reporting environment with SQLCollaborate closely with members across the Logistics organization on Analytics initiativesCreate documentation on how data is being pulled & manipulated in the reporting environmentManage and support the discovery Oracle environmentConstructs data flow charts and diagrams; writes business requirementsAbility to communicate Advance Logistics concerns and procedures within the organizationBachelor’s Degree in Analytics, Supply Chain Management, Management Information Systems, mathematics or related fieldProficient user experience at Microsoft Excel, Access, Visio, and Power PointProficient using Oracle (Scheduler, User roles, Schemas, and troubleshooting)Experience with Python and R codingExperience with Tableau, Power BI, SQL or other statistical softwareExperience with data manipulation and cleansing techniquesExperience creating dashboards and actionable insights from operational dataMBAKnowledge of DataStageETL – Extract, Transform, LoadExperience or understanding of Agile IT development methodologyPassion for learning, solving complex problems, and R&DTransportation or Supply Chain experience is a plus"
15,16,16,https://www.indeed.com/viewjob?jk=2e7e5a6262b7b77e&fccid=941557ec081c65d2&vjs=3,Data Scientist,Caterpillar,"New York, NY 10018 (Clinton area)",,"Drive the ongoing advancement and refinement of Biz2Credit’s credit decisioning & pricing model - optimizing risk and return while dramatically reducing decision cycle times.Continuously evaluate alternative data sources and structures to document and improve the efficacy of our customer conversion models and processes.Harness the power of Biz2Credit’s technology to proactively identify emerging risks as well as opportunities with our customers.Play a leadership role in the design and implementation of ongoing operational and risk reporting and analytics.Work on data projects and proposals involving Biz2Credit’s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others) to analyze, classify and visualize credit-related dataDegree in Statistics, Applied Mathematics, Engineering, Computer Science or other quantitative fields from leading university; Advanced degree preferred2- 4 years experience performing quantitative analysis within self-directed roles.Practical hands-on experience in the development and implementation of new predictive models and comfortable in learning new statistical tools and techniques.Ability to visualize and communicate sophisticated data and models to all audiences.Specific demonstrated experience, knowledge, accuracy and speed of execution in Powerpoint, Excel, Excel VBA and R (knowledge of other programming knowledge and/or Stata is a plus) Highly motivated, versatile, capable of working independently with demonstrated initiative"
16,17,17,https://www.indeed.com/viewjob?jk=8950e0d792b318ec&fccid=50f36c0c1bc1a794&vjs=3,Data Science and Machine Learning,Caterpillar,United States,"$80,000 a year","Apply academic and/or software development background to industry problems in a full-time data science and machine learning role.Skill up in machine learning topics, including use of modern techniques in deep learning and natural language processing.Exploratory research, proof of concept and MVP projects, and production-level algorithms.Experience and aptitude in developing hypotheses and machine learning solutions for real-world problems.Experience developing potentially scalable systems in an industry or research environment.Quantitative background in Statistics, Computer Science, Math or other technical field.Solid programming and algorithmic skills.Experience with common analysis tools available in Python (such as NumPy and scikit-learn).Bonus: Experience with deep learning libraries in Python (such as TensorFlow and PyTorch).Salary up to $80,000 based on level of experience.Work from anywhere in the US! Rho AI is a tight-knit, fully distributed team.As part of the Rho AI team, you will make decisions that impact the whole company.Motivated and engaged co-workers. We work together and learn from one another.Benefits, including health insurance and 401kResumeCover LetterCode SampleIllustrate that you are interested in what we doLet us know where you learned about usEmail your application to jobs@rho.ai (or click Apply below)Make the job title the subject lineAttach your CV and cover letter"
17,18,18,https://www.indeed.com/viewjob?jk=d61bbdf66e068066&fccid=5bd99dfa21c8a490&vjs=3,Data Scientist,Bank of America,"Jersey City, NJ 07302 (Downtown area)",,Job Description:Shift:Hours Per Week:
18,21,21,https://www.indeed.com/viewjob?jk=eb9aac30c4338c21&fccid=3fc1e7f5af93d293&vjs=3,Data Scientist Intern,KAYAK,"Cambridge, MA",,"Extract data from databases, write scripts to parse, clean, combine, and process themPrepare graphs or visualizations of processed data, spot trends, anomaliesDraw inferences and conclusions, communicate results through reports, charts, or tablesSQL and database experience is a mustGood programming skills with at least one high-level language such as Python, Perl, Groovy, Java, or C/C++Basic knowledge of data structures, algorithms, and statisticsFamiliarity with Unix shell scriptingFamiliarity with ExcelKnowledge of Machine Learning is a plus"
19,23,23,https://www.indeed.com/viewjob?jk=d8f38bd3602909e9&fccid=8ef4fa42d160b676&vjs=3,Data Scientist (2019 Start),Optiver,"Chicago, IL",,"Quantitatively analyze trade and market dataUse a multitude of mathematical techniques to identify patterns in financial marketsCollaborate with Senior Traders and Data Scientists to develop strategies based on identified patternsRigorously back-test prototyped trading strategies0 to 1 year of work experience, preferably within the financial services industryBachelor’s degree in Computer Science, Statistics or related field.Proficiency with a programming language, preferably Python, C or RSolid understanding of basic statisticsThe ability to think independently and work collaborativelyThe willingness to teach others and learn new techniquesAbility to communicate clearly with Traders and Developers"
20,25,25,https://www.indeed.com/viewjob?jk=19578114dda2609c&fccid=c46d0116f6e69eae&vjs=3,Data Scientist,JP Morgan Chase,"Houston, TX 77002 (Downtown area)",,"Apply strategic, analytical and data science skills to broad range of challenges faced by the enterprise.Gain technical expertise in cutting edge big data tools and technologies (e.g., Hadoop, Spark,Advance quantitative capability by developing impactful assets for clients using a variety of techniques (e.g., regressions, decision trees, ensemble algorithms, neural networks, time series analytics, clustering, anomaly detection, text analytics, etc.).Develop deep domain knowledge of Corporate teams and processes.Become a trusted client advisor and develop strategic relationships across the firm.Grow leadership skills by managing clients and projects, and by socializing new ideas across the firm.Advanced degree or undergraduate degree with 3-5 years work experience in analytical field (e.g., Computer Science, Economics, Mathematics, Statistics, Engineering, Operations Research, Physics), data bootcamp certification, or industry experience in analytical roles (e.g., consulting, modeling, data analysis).Ability to work in a team as a self-directed contributor with a proven track record of being detail orientated, innovative, creative, and strategic.Influencer with great interpersonal skills and proven ability to achieve alignment across a range of different views and interests.Strong aptitude for technical concepts and ideas.Thought leader in data science and analytics who can define analytical agenda for projects, demonstrates ability to frame ambiguous business questions into analytical plans (e.g., assessing data needs, sourcing files, preparing data, creating new features, evaluating quality, etc.), and executes with precision.Knowledge of modern data mining, quantitative research, and data science techniques. (e.g., multiple of: regressions, decision trees, ensemble algorithms, neural networks, time series analytics, clustering, anomaly detection, text analytics, etc.)Experience across broad range of modern data science and analytics tools. (e.g., SQL, Hive, Hadoop, Spark, Python, R and Jupyter Notebook)Excellent communicator able to convey complex information in an understandable, compelling, and persuasive manner to senior executives.Financial services background preferred, but not required."
21,26,26,https://www.indeed.com/viewjob?jk=7f820af0dcbcdc1d&fccid=fe2d21eef233e94a&vjs=3,Data Scientist,Amazon.com,"Seattle, WA",,"Own data analyses for a domain of customer-facing features, including launch go/no-go metrics for new features and accuracy metrics for existing features.Handle unique data analysis requests from a range of stakeholders, including quantitative and qualitative analyses to elevate customer experience with speech interfacesLead and evaluate changing dialog evaluation conventions, test tooling developments, and pilot processes to support expansion to new data areasContinuously evaluate workflow tools and processes and offer solutions to ensure they are efficient, high quality, and scalable.Provide day-to-day expert support for a large and growing team of data analysts.Provide key support for ongoing and new data collection efforts. BASIC QUALIFICATIONSMaster’s degree in a related field, such as Data Analytics, BI, Linguistics, Computer Linguistics.3+ years experience working with data analysis.Experience with language annotation and other forms of data markup.Experience with process design and documentation.Experience communicating research findings and analysis in both written and spoken channels. PREFERRED QUALIFICATIONSProficiency in scripting, querying and/or analytics tools: Linux, R, SAS, or similar tool.Practical knowledge of data processing needs and trade-offs.Experience working with speech and/or language data.Fluency in a foreign languageExpertise in building ontologies, taxonomies, and semantic relation frameworks."
